--- LEAGUES ---
ID: 62a65792-6520-44d7-82dc-8d995f4032bc | Name: CDSC Aguará | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 167a60fa-7259-45ee-a2c5-4180bda299de | Name: CDS Naval de Talcahuano | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 21690bad-9dc9-4492-99b2-9f5761e8caf7 | Name: Constitución Unido | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: b16e1205-b07b-4191-b64a-693adabd060d | Name: CD Imperial Unido | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: ba2c1631-f7fa-4de1-b557-a19249a33cd8 | Name: CD Colchagua | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 0e5d636e-1eed-483d-99be-89ab29274f10 | Name: Comunal Cabrero | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: 4d637440-f6ec-4904-a517-bbefcfcc5354 | Name: Atlético Colina | LeagueID: 7410b97f-a517-4315-9030-06a7386f22f6
ID: c50c0b78-0cd9-4726-9782-61d50d253310 | Name: CDSC Aguará | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 2701fc4c-bd7f-4d02-8b86-0b1973f2202f | Name: Municipal Puente Alto | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 4592b2a3-27ea-4840-a666-5d303bc2f404 | Name: CDSC Deportes Rancagua | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 56a44e55-82ad-49d3-a211-e64f75d97619 | Name: Atlético Oriente | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 589c3620-5fa1-4078-a6cd-eb5edeaade29 | Name: CDS Naval de Talcahuano | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: df348b9c-57d2-4ccc-b530-64893bdfa698 | Name: Constitución Unido | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 07eed9f7-c307-461a-a8e4-0abc48bbeb2d | Name: Comunal Cabrero | LeagueID: 3cbbb85e-290e-44a2-8f2d-af18e357fb2e
ID: 696db824-4380-4552-8a20-9144c81a41eb | Name: Provincial Ovalle | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 2ded2c92-6e5c-43b6-be9c-03730da3cce6 | Name: CD Trasandino de Los Andes | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 1254cecf-bf9a-47f7-b4f0-2ad3f562a0be | Name: Santiago City FC | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 0ae03f99-3ff2-47c2-a4d2-05edc578d919 | Name: Deportes Linares | LeagueID: fc0e3b1d-f299-4e53-b966-80cadddf2ad3
ID: 007336a5-6e97-4315-8d4f-48bb0319da3e | Name: Deportes Puerto Montt | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 022931ec-9714-49d7-9aa8-148de7c808a4 | Name: Universidad de Chile | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 02d76bde-4cb3-406e-a775-d1937e42a46d | Name: Palestino | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 048e788b-2659-438f-ba2f-d47cd17a5eb0 | Name: Deportes Magallanes | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
