ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443508,7,2025-04-12 19:00:00,Cobresal,1,Universidad Católica,1,53.0,47.0,0.7,1.19,15.0,14.0,3.0,3.0,6.0,6.0
13443515,7,2025-04-13 00:00:00,Audax Italiano,1,O'Higgins,0,37.0,63.0,1.85,1.35,13.0,22.0,2.0,2.0,3.0,5.0
13443514,7,2025-04-13 16:30:00,Deportes La Serena,2,Everton de Viña del Mar,1,44.0,56.0,1.47,2.26,13.0,17.0,5.0,4.0,3.0,4.0
13443512,7,2025-04-14 19:00:00,Palestino,1,Unión La Calera,0,55.0,45.0,1.51,0.61,16.0,9.0,6.0,1.0,7.0,7.0
13443517,7,2025-04-14 22:00:00,Unión Española,3,Ñublense,0,46.0,54.0,3.12,0.87,13.0,17.0,7.0,2.0,4.0,8.0
13443510,7,2025-04-15 00:30:00,Deportes Limache,2,Deportes Iquique,0,52.0,48.0,3.01,0.37,20.0,11.0,10.0,3.0,6.0,3.0
13949150,7,2025-07-12 19:00:00,Universidad de Chile,2,Colo Colo,1,44.0,56.0,,,10.0,10.0,4.0,4.0,1.0,4.0
13443525,8,2025-04-17 22:00:00,Universidad de Chile,3,Deportes La Serena,1,58.0,42.0,3.28,0.41,20.0,10.0,6.0,2.0,3.0,2.0
13443533,8,2025-04-18 22:00:00,Audax Italiano,2,Unión Española,0,43.0,57.0,1.38,1.31,18.0,17.0,4.0,10.0,2.0,4.0
13443523,8,2025-04-19 19:00:00,Huachipato,0,Cobresal,1,58.0,42.0,1.24,0.24,14.0,7.0,2.0,4.0,5.0,1.0
13443531,8,2025-04-19 21:30:00,Universidad Católica,2,Deportes Limache,1,70.0,30.0,2.88,1.01,18.0,8.0,5.0,3.0,7.0,5.0
13443529,8,2025-04-20 16:30:00,Everton de Viña del Mar,1,Unión La Calera,1,47.0,53.0,2.0,0.89,11.0,8.0,3.0,2.0,4.0,7.0
13443535,8,2025-04-20 19:00:00,O'Higgins,1,Palestino,0,45.0,55.0,1.06,0.16,16.0,8.0,5.0,2.0,4.0,8.0
13443527,8,2025-04-21 00:00:00,Ñublense,0,Coquimbo Unido,0,58.0,42.0,0.7,1.05,10.0,12.0,2.0,5.0,3.0,1.0
13443521,8,2025-06-13 00:00:00,Deportes Iquique,2,Colo Colo,2,28.0,72.0,1.07,1.96,10.0,16.0,1.0,3.0,6.0,6.0
13443628,9,2025-04-25 22:00:00,Ñublense,2,Deportes La Serena,0,48.0,52.0,1.33,0.51,13.0,9.0,3.0,2.0,3.0,4.0
13443547,9,2025-04-25 22:00:00,Unión La Calera,1,Audax Italiano,0,53.0,47.0,0.93,0.79,8.0,10.0,2.0,3.0,3.0,4.0
13443543,9,2025-04-26 00:30:00,Universidad Católica,6,Everton de Viña del Mar,0,58.0,42.0,4.18,0.52,17.0,10.0,10.0,3.0,8.0,5.0
13443545,9,2025-04-26 18:00:00,Cobresal,3,Deportes Limache,1,60.0,40.0,1.1,2.13,13.0,14.0,9.0,6.0,7.0,10.0
13443541,9,2025-04-26 20:00:00,Colo Colo,2,Coquimbo Unido,0,56.0,44.0,0.72,0.27,9.0,8.0,3.0,0.0,1.0,4.0
